image_id,caption
2431832075_00aa1a4457.jpg,a young boy is petting a peach bubble
2581066814_179d28f306.jpg,a man in a helmet is riding a unicycle down the street
2621415349_ef1a7e73be.jpg,a man in a white shirt and a woman in a red shirt are standing in front of a store
114051287_dd85625a04.jpg,a man in a red shirt is sitting on a bench with a shopping cart
3554634863_5f6f616639.jpg,a man with a red shirt and a cast bag is standing next to a man in a white shirt
3523559027_a65619a34b.jpg,a man in a red shirt is standing on a rock
751737218_b89839a311.jpg,a man in a red shirt is standing next to a man in a red shirt
3716244806_97d5a1fb61.jpg,a man in a red shirt is standing on a rock overlooking a lake
2510020918_b2ca0fb2aa.jpg,a young boy is petting a peach
1679617928_a73c1769be.jpg,a man is sitting on a bench with a dog
160792599_6a7ec52516.jpg,a man in a black and white shirt is standing in a large area
430173345_86388d8822.jpg,a dog is running through a field of grass
2861932486_52befd8592.jpg,a man in a red shirt is standing next to a man in a red shirt
1499581619_a5f65a882c.jpg,a man in a red shirt is standing on a park bench
3044536048_e615466e7f.jpg,a man in a black wetsuit is walking through a river
3411393875_a9ff73c67a.jpg,a man in a white shirt and a woman in a black shirt give faces
3398746625_5199beea71.jpg,a man in a black wetsuit is walking along a beach
359837950_9e22ffe6c2.jpg,a man in a red shirt is standing on a snowy hill
3051384385_c5c850c1f8.jpg,a man in a red shirt is standing next to a man in a red shirt
327415627_6313d32a64.jpg,a black and white dog is running through a field
2049051050_20359a434a.jpg,a man in a red shirt is standing on a rock overlooking a lake
3192266178_f9bf5d3dba.jpg,a dog is running through a field
2251747182_6b67a3ab8b.jpg,a basketball player in a white shirt is challenging the ball
315880837_90db309bab.jpg,a dog is running through the snow
215214751_e913b6ff09.jpg,a man paddles a boat in the water
370713359_7560808550.jpg,a man in a blue shirt and a woman in a white shirt and a man in a white and white shirt are sitting on a bench
249394748_2e4acfbbb5.jpg,a black and white dog is running through a field
3507076266_8b17993fbb.jpg,a man in a red shirt is riding a horse on a horse
2966552760_e65b22cd26.jpg,a woman in a red shirt is standing next to a woman in a red shirt
3220126881_b0a4f7cccb.jpg,a man in a white shirt and a woman in a white shirt give a funny face
3320356356_1497e53f80.jpg,a man is climbing a rock face
1509786421_f03158adfc.jpg,a woman in a red shirt is sitting on a bench smoking a cigarette
2102360862_264452db8e.jpg,a man in a black shirt is standing on a beach with a stick in his hand
2084217208_7bd9bc85e5.jpg,a man in a blue shirt is riding a bicycle down the street
3223055565_68973f5d20.jpg,a black dog is running through the water
1348304997_afe60a61df.jpg,a boy in a red shirt is jumping on a trampoline
2878190821_6e4e03dc5f.jpg,a man in a red shirt is standing next to a man in a red shirt
3025549604_38b86198f5.jpg,a man in a red shirt is standing on a bench
3688858505_e8afd1475d.jpg,a man in a red shirt is standing next to a man in a red shirt
2358561039_e215a8d6cd.jpg,a man in a red shirt is running on the snow
2354540393_a149722680.jpg,a young boy in a red shirt is playing with a toy
3482974845_db4f16befa.jpg,a black dog is running through the water
3295680663_af21ea648b.jpg,a dog is running through a field
2647049174_0fb47cee2e.jpg,a young boy is petting a peach
293881927_ac62900fd4.jpg,a man in a red shirt is riding a horse on a horse
3468694409_a51571d621.jpg,a man in a white shirt is standing in front of a group of people
2396691909_6b8c2f7c44.jpg,a man in a white shirt and a woman in a red shirt are standing in front of a store
3024172109_a10198e1dd.jpg,a boy in a red shirt is jumping on a trampoline
2308978137_bfe776d541.jpg,a man in a white shirt is standing next to a man in a white shirt
3437654963_c4fdc17e8b.jpg,a dog is running through the water
2317714088_bcd081f926.jpg,a man in a red shirt is standing next to a man in a red shirt
997722733_0cb5439472.jpg,a man is climbing a rock
2239938351_43c73c887c.jpg,a black and white dog is running through a field
2822290399_97c809d43b.jpg,a dog is running through a field
1472882567_33dc14c8b6.jpg,a man in a red jacket is walking on a snowy hill
2526585002_10987a63f3.jpg,a man in a red shirt is standing on a dock in front of a lake
1119015538_e8e796281e.jpg,a black dog is running through a field
293879742_5fe0ffd894.jpg,a dog is running through a field
3708177171_529bb4ff1d.jpg,a boy is climbing a rock wall
2470486377_c3a39ccb7b.jpg,a young boy in a red shirt is running on the grass
343218198_1ca90e0734.jpg,a black dog is running through a field
3227148358_f152303584.jpg,a dog is running through the water
2374652725_32f90fa15c.jpg,a black dog is running through the water
2797149878_bb8e27ecf9.jpg,a boy in a red shirt is running on a sidewalk
533713007_bf9f3e25b4.jpg,a man in a red shirt is standing next to a man in a red shirt
398662202_97e5819b79.jpg,a baby in a pink shirt is sitting on a bed
1467533293_a2656cc000.jpg,a man in a red shirt is standing on a bench
3110649716_c17e14670e.jpg,a man in a white shirt and a woman in a black shirt give faces
561940436_64d6fc125d.jpg,a man in a white shirt and a woman in a red shirt give a book
3523471597_87e0bf3b21.jpg,a man in a white shirt and a woman in a black shirt give faces
700884207_d3ec546494.jpg,a woman in a red shirt is standing next to a man in a red shirt
387830531_e89c192b92.jpg,a dog is running through a field of grass
2238759450_6475641bdb.jpg,a man in a red shirt is standing on a rock
2913965136_2d00136697.jpg,a young boy in a red shirt kicks a soccer ball
3280052365_c4644bf0a5.jpg,a man in a white shirt and a woman in a black shirt give faces
3609032038_005c789f64.jpg,a man on a bike is riding on a dirt path
309687244_4bdf3b591f.jpg,a man is climbing a rock face
2078311270_f01c9eaf4c.jpg,a man in a red shirt is standing next to a man in a red shirt
3325497914_f9014d615b.jpg,a young boy in a red shirt is running on a sidewalk
166507476_9be5b9852a.jpg,a dog is running through the water
3187492926_8aa85f80c6.jpg,a man in a black wetsuit is surfing
2285570521_05015cbf4b.jpg,a man is snowboarding
3042380610_c5ea61eef8.jpg,a man in a red shirt is standing next to a man in a red shirt
241346508_0b3907a95b.jpg,a man in a white shirt and a white shirt is playing with a football
3155451946_c0862c70cb.jpg,a basketball player in a white shirt is challenging the ball
3467219837_7d62213dec.jpg,a dog is running through the water
3613955682_3860e116cf.jpg,a woman in a costume is riding a unicycle
3601843201_4809e66909.jpg,a man on a motorcycle is turning up a corner
2884301336_dc8e974431.jpg,a dog swims in the water
3139160252_75109e9e05.jpg,a man in a white shirt and a woman in a red shirt are standing in front of a store
1962729184_6996e128e7.jpg,a man in a blue shirt and a woman in a white shirt and a man in a white shirt sit on a bench
2393264648_a280744f97.jpg,a man in a red shirt is standing on a beach
3651971126_309e6a5e22.jpg,a black dog is running through the grass
3741462565_cc35966b7a.jpg,a man in a red shirt is standing next to a railing
2731171552_4a808c7d5a.jpg,a man in a black shirt is standing on a beach
1392272228_cf104086e6.jpg,a black dog is running through the water
2167644298_100ca79f54.jpg,a man in a white shirt and a woman in a red shirt are standing in front of a store
2712787899_d85048eb6a.jpg,a boy in a red shirt is jumping on a trampoline
